cds_code,year_built,max_sqft
01100170112607,1965,
01100170123968,1965,
01100170124172,1965,
01100170125567,1965,
01100170130401,1965,
01100170130419,1965,
01100170130625,1965,
01100170131581,1965,
01100170136101,1965,
01100170136226,1965,
01100170137448,1965,
01100170138867,1965,
01100176001788,1965,
01100176002000,1965,
01316090131755,1965,
01316170131763,1860,
01611190106401,1965,
01611190111765,1965,
01611190119222,1965,
01611190122085,1965,
01611190130229,1965,
01611190130609,1965,
01611190132142,1965,
01611190134304,1965,
01611190139220,1965,
01611196090013,1965,
01611196090021,1965,
01611196090039,1965,
01611196090047,1965,
01611196090054,1965,
01611196090112,1965,
01611196090120,1965,
01611196100374,1965,
01611196110779,1965,
01611270130294,1965,
01611270130450,1965,
01611276090146,1965,
01611276090161,1965,
01611276095376,1965,
01611276116222,1965,
01611430131177,1965,
01611430134924,1965,
01611436056857,1965,
01611436056865,1965,
01611436090187,1965,
01611436090195,1965,
01611436090211,1965,
01611436090252,1965,
01611436090278,1965,
01611436090286,1965,
01611436090294,1965,
01611436090302,1965,
01611436090310,1965,
01611436090328,1965,
01611436097729,1965,
01611436105316,1965,
01611500130047,1965,
01611500132225,1965,
01611500133876,1965,
01611500135533,1965,
01611506090351,1965,
01611506090369,1965,
01611506090385,1965,
01611506090393,1965,
01611506090401,1965,
01611506090419,1965,
01611506090435,1965,
01611506090468,1965,
01611506090484,1965,
01611506097653,1965,
01611506113005,1965,
01611680132746,1965,
01611686090492,1965,
01611760127233,1965,
01611760130062,1965,
01611760130138,1965,
01611760130435,1965,
01611760134270,1965,
01611760134452,1965,
01611760135244,1965,
01611760138693,1965,
01611760138982,1965,
01611766000541,1965,
01611766000558,1965,
01611766000566,1965,
01611766000590,1965,
01611766000624,1965,
01611766000640,1965,
01611766000665,1965,
01611766000673,1965,
01611766000681,1965,
01611766000715,1965,
01611766000723,1965,
01611766000749,1965,
01611766000756,1965,
01611766000764,1965,
01611766000798,1965,
01611766000806,1965,
01611766000830,1965,
01611766000848,1965,
01611766056873,1965,
01611766056881,1965,
01611766056907,1965,
01611766056915,1965,
01611766056923,1965,
01611766066468,1965,
01611766089320,1965,
01611766089619,1965,
01611766090526,1965,
01611766090534,1965,
01611766090542,1965,
01611766090559,1965,
01611766104723,1965,
01611766106983,1965,
01611766111330,1965,
01611920108670,1965,
01611920111815,1965,
01611920127696,1965,
01611920127944,1965,
01611920133009,1965,
01611920133629,1965,
01611920135319,1965,
01611920137646,1965,
01611920138339,1965,
01611926000905,1965,
01611926000913,1965,
01611926000921,1965,
01611926000947,1965,
01611926000962,1965,
01611926000988,1965,
01611926000996,1965,
01611926001044,1965,
01611926001051,1965,
01611926001093,1965,
01611926001101,1965,
01611926001127,1965,
01611926001135,1965,
01611926001176,1965,
01611926001192,1965,
01611926056931,1965,
01611926056949,1965,
01611926056956,1965,
01611926056972,1965,
01611926066476,1965,
01611926090583,1965,
01611926104566,1965,
01611926113815,1965,
01612000130393,1965,
01612000132670,1965,
01612000133397,1965,
01612000134536,1965,
01612000135376,1965,
01612006001234,1965,
01612006001242,1965,
01612006001259,1965,
01612006001283,1965,
01612006001291,1965,
01612006001317,1965,
01612006001341,1965,
01612006071906,1965,
01612006085773,1965,
01612006089338,1965,
01612006097661,1965,
01612006110332,1965,
01612006117543,1965,
01612186001358,1965,
01612340130054,1965,
01612340130484,1965,
01612340135426,1965,
01612346001440,1965,
01612346001481,1965,
01612346001499,1965,
01612346001507,1965,
01612346001523,1965,
01612346001531,1965,
01612346102917,1965,
01612420110460,1965,
01612420110478,1965,
01612420126763,1965,
01612420134668,1965,
01612426001572,1965,
01612426001606,1965,
01612426001622,1965,
01612426068266,1965,
01612426097679,1965,
01612426101604,1965,
01612426115505,1965,
01612426115554,1965,
01612426118525,1965,
01612590100065,1965,
01612590100701,1965,
01612590100792,1965,
01612590102988,1965,
01612590106906,1965,
01612590108944,1965,
01612590109819,1965,
01612590110189,1951,
01612590110239,1958,
01612590110247,1965,
01612590110254,1948,
01612590111476,1965,
01612590111856,1965,
01612590112763,1948,
01612590112789,1926,
01612590112797,1944,
01612590112813,1965,
01612590114363,1965,
01612590114868,1965,
01612590115014,1965,
01612590115204,1953,
01612590115238,1965,
01612590115584,1960,
01612590115592,1965,
01612590115600,1935,
01612590115618,1956,
01612590115626,1958,
01612590115667,1965,
01612590118224,1965,
01612590118653,1965,
01612590119859,1965,
01612590121228,1965,
01612590121376,1965,
01612590125161,1959,
01612590125716,1939,
01612590126748,1965,
01612590128413,1965,
01612590129635,1965,
01612590129932,1965,
01612590130146,1958,
01612590130179,1965,
01612590130575,1965,
01612590130633,1965,
01612590130666,1965,
01612590130732,1965,
01612590132514,1965,
01612590132688,1965,
01612590134015,1965,
01612590135905,1965,
01612590136051,1913,
01612590137943,1965,
01612590141804,1965,
01612593030772,1965,
01612596001630,1958,
01612596001648,1935,
01612596001655,1948,
01612596001663,1949,
01612596001689,1948,
01612596001697,1961,
01612596001713,1965,
01612596001739,1965,
01612596001754,1965,
01612596001812,1965,
01612596001820,1955,
01612596001838,1949,
01612596001846,1960,
01612596001853,1965,
01612596001879,1957,
01612596001903,1959,
01612596001911,1950,
01612596001929,1960,
01612596001945,1949,
01612596001994,1927,
01612596002018,1961,
01612596002042,1965,
01612596002059,1948,
01612596002075,1958,
01612596002083,1941,
01612596002109,1965,
01612596002117,1965,
01612596002125,1957,
01612596002141,1948,
01612596002174,1958,
01612596002182,1965,
01612596002190,1965,
01612596002216,1958,
01612596002273,1965,
01612596056998,1965,
01612596057004,1951,
01612596057020,1958,
01612596057046,1965,
01612596057061,1965,
01612596057079,1957,
01612596057087,1935,
01612596057095,1965,
01612596066450,1958,
01612596072235,1965,
01612596096523,1965,
01612596111660,1965,
01612596113807,1965,
01612596114011,1965,
01612596117568,1965,
01612596118608,1965,
01612596118616,1965,
01612596118640,1936,
01612596118657,1960,
01612750130286,1965,
01612750136515,1965,
01612756002281,1965,
01612756002299,1965,
01612756002307,1965,
01612756066492,1965,
01612910134528,1965,
01612910137588,1965,
01612910141473,1965,
01612916002372,1965,
01612916002398,1965,
01612916002414,1965,
01612916002422,1965,
01612916002430,1965,
01612916002448,1965,
01612916002455,1965,
01612916002463,1965,
01612916057111,1965,
01612916066518,1965,
01613090101212,1965,
01613090111799,1965,
01613090114421,1965,
01613090130849,1965,
01613090137745,1965,
01613090137810,1965,
01613096002505,1965,
01613096002513,1965,
01613096002521,1965,
01613096002539,1965,
01613096002547,1965,
01613096002554,1965,
01613096002562,1965,
01613096002604,1965,
01613096002612,1965,
01613096002620,1965,
01613096002653,1965,
01613096002703,1965,
01750930114579,1965,
01750930123935,1965,
01750930125930,1965,
01750930131615,1965,
01750930132704,1965,
01750930136929,1965,
01750930138164,1965,
01750930138453,1965,
01750930141515,1965,
01750930141937,1965,
01750936001374,1965,
01750936001390,1965,
01750936001424,1965,
01750936066484,1965,
01750936118038,1965,
01751010130096,1965,
01751010130252,1965,
01751010130583,1965,
01751010141432,1965,
01751016001366,1965,
01751016001416,1965,
01751016002315,1965,
01751016002323,1965,
01751016002349,1965,
01751016002356,1965,
01751016066500,1965,
01751016089361,1965,
01751016108971,1965,
01751016114318,1965,
01751016117592,1965,
01751016117600,1965,
01751196002711,1965,
01771800138289,1965,
03100330330035,1965,
03100330330068,1965,
03739810330019,1965,
03739810330050,1965,
03739810330753,1965,
03739810334755,1965,
03739816002810,1965,
03739816002828,1965,
03739816002844,1965,
03739816002851,1965,
03739816002869,1965,
03739816002877,1965,
03739816107387,1965,
03739816107395,1965,
04100410114991,1965,
04100410129817,1965,
04100410134213,1965,
04100410139493,1965,
04100410430066,1965,
04100410430090,1965,
04100416069256,1965,
04613826002919,1965,
04614240110551,1965,
04614240111039,1965,
04614240118042,1965,
04614240120394,1965,
04614240121475,1965,
04614240123976,1965,
04614240137828,1965,
04614240141069,1965,
04614240141085,1965,
04614240430199,1965,
04614240431502,1965,
04614240431676,1965,
04614240437558,1965,
04614246002968,1965,
04614246002976,1965,
04614246003008,1965,
04614246003024,1965,
04614246003032,1965,
04614246003040,1965,
04614246003073,1965,
04614246003081,1965,
04614246003099,1965,
04614246003107,1965,
04614246057129,1965,
04614246057137,1965,
04614246109722,1965,
04614246111116,1965,
04614246116610,1965,
04614320433201,1965,
04614326003115,1965,
04614326105761,1965,
04614576003131,1965,
04614996003198,1962,
04615070110072,1965,
04615070121509,1965,
04615070129577,1965,
04615076003255,1965,
04615076003263,1965,
04615150430140,1965,
04615150434803,1965,
04615150435602,1965,
04615150437566,1965,
04615230110510,1965,
04615236003289,1965,
04615236003297,1965,
04615236089080,1965,
04615236115034,1965,
04615310110338,1965,
04615310121715,1965,
04615310139329,1965,
04615310430108,1965,
04615310432856,1965,
04615310437350,1965,
04615316003313,1965,
04615316003321,1965,
04615316003339,1965,
04615316105522,1965,
04615316112585,1965,
04615316112999,1965,
04615316113526,1965,
04615316113765,1965,
04615490102327,1965,
04615490141341,1965,
04615496003354,1965,
04615496003362,1965,
04615496003370,1965,
04615496121016,1965,
04733796002927,1965,
04755070433946,1965,
04755070433953,1965,
04755076003156,1965,
04755076003164,1965,
04755076003172,1965,
05100580530048,1965,
05100580530154,1965,
05100586077150,1965,
05100589010745,1965,
05615560530014,1965,
05615560532507,1965,
05615640530022,1965,
05615640530055,1965,
05615640531509,1965,
05615646003404,1965,
05615646003438,1965,
05615646003446,1965,
05615646003453,1965,
05615646105431,1965,
05615646108518,1965,
05615720141820,1965,
05615726003388,1965,
05615726003461,1965,
05615806003396,1965,
05615806088975,1965,
05615806111884,1965,
05615806115000,1965,
06100660136580,1965,
06100660630111,1965,
06615980630012,1965,
06615980630046,1965,
06615980631259,1965,
06615986003495,1965,
06615986057152,1965,
06616140630087,1965,
06616140635250,1965,
06616146003511,1965,
06616146003537,1965,
06616146103576,1965,
06616220118729,1965,
06616220630038,1965,
06616220637504,1965,
06616226003552,1965,
07100740114470,1965,
07100740129528,1965,
07100740129684,1965,
07100740137026,1965,
07100740730614,1965,
07100740731380,1965,
07100746118368,1965,
07616300107524,1965,
07616300730283,1965,
07616300731125,1965,
07616300733725,1965,
07616300734244,1965,
07616480100461,1965,
07616480100479,1965,
07616480106583,1965,
07616480110494,1965,
07616480113761,1965,
07616480115063,1965,
07616480117218,1965,
07616480137430,1965,
07616480141028,1965,
07616480730101,1965,
07616480730259,1965,
07616480730465,1965,
07616480730861,1965,
07616486003578,1965,
07616486003594,1965,
07616486003602,1965,
07616486003610,1965,
07616486003628,1965,
07616486003636,1965,
07616486057178,1965,
07616486061154,1965,
07616486084941,1965,
07616486108989,1965,
07616486110514,1965,
07616486113104,1965,
07616486115380,1965,
07616486115703,1965,
07616486117501,1965,
07616550102376,1965,
07616550108019,1965,
07616550110528,1965,
