file,year,max_sqft
37680490129221.json,1965,
36678506036644.json,1965,
43104390135087.json,1965,
53738336053755.json,1965,
01611766090542.json,1965,
21653676024376.json,1965,
45699710135830.json,1965,
42692296045561.json,1965,
36677106035828.json,1965,
37684520114264.json,1965,
19647336017602.json,1965,
57726945739552.json,1965,
14766871430107.json,1965,
15634040127712.json,1965,
37682966110878.json,1965,
42691120111773.json,1965,
43694506105795.json,1965,
19647330112003.json,1965,
21654586024830.json,1965,
30665066028153.json,1962,
39103970120717.json,1965,
41689320132217.json,1965,
56726036115653.json,1965,
36678766061923.json,1965,
19650526022925.json,1965,
07617396057186.json,1965,
18750366010763.json,1965,
19643036011613.json,1965,
23102310110023.json,1965,
33671246106967.json,1965,
37684030125401.json,1965,
39685850133678.json,1965,
43696666048664.json,1965,
19734606108336.json,1965,
15635291530047.json,1965,
50710430110734.json,1965,
36678196036164.json,1965,
36676786098354.json,1965,
05615560532507.json,1965,
19651020101543.json,1965,
34752830120113.json,1965,
50710685031521.json,1965,
10621666006407.json,1965,
34674476034359.json,1965,
33672073330727.json,1965,
24657552431492.json,1965,
01613096002620.json,1965,
19642876011407.json,1965,
30736356089510.json,1965,
19643376066724.json,1965,
19647336019020.json,1965,
49709530105866.json,1965,
19647740108399.json,1965,
19647336019889.json,1965,
36678766037139.json,1965,
33670900136721.json,1965,
19734520111070.json,1965,
19768696023824.json,1965,
36677020102947.json,1965,
19647336018261.json,1965,
50712900113803.json,1965,
17640226109706.json,1965,
13631646008551.json,1965,
57726946056352.json,1965,
12626870124263.json,1965,
37683386040174.json,1965,
20652430123620.json,1965,
39685930116376.json,1965,
33670820113159.json,1965,
41689244133393.json,1965,
26736686025910.json,1965,
19647336018774.json,1965,
37679916093207.json,1965,
01612420110460.json,1965,
27660766026140.json,1965,
38684786041511.json,1965,
39685856042154.json,1965,
37681976038517.json,1965,
30666476030969.json,1965,
01611190134304.json,1965,
37756146038962.json,1965,
15638006010151.json,1965,
30666966030506.json,1965,
19647330117606.json,1965,
58727365830013.json,1965,
01611920135319.json,1965,
01611436090310.json,1965,
