file,year,max_sqft
19647336057996.txt,1965,
33671736108443.txt,1965,
19649076021901.txt,1965,
04755076003156.txt,1965,
30736430121152.txt,1965,
37680236037840.txt,1965,
57726786118905.txt,1965,
30736506108799.txt,1965,
37681303737905.txt,1965,
42750106045389.txt,1965,
16638750101717.txt,1965,
45699896050314.txt,1965,
43696666048474.txt,1965,
03739816002877.txt,1965,
19645276013312.txt,1965,
34673480100040.txt,1965,
57727106071278.txt,1965,
14101400117994.txt,1965,
54722310100495.txt,1965,
19734376012298.txt,1965,
19647330122739.txt,1965,
19647330136994.txt,1965,
30666706115133.txt,1965,
43694274330312.txt,1965,
52716216053631.txt,1965,
36678766036859.txt,1965,
34674396033823.txt,1965,
19734606023386.txt,1965,
56725200139626.txt,1965,
19647330124412.txt,1965,
31669106106108.txt,1965,
36678766061915.txt,1965,
19648166020788.txt,1965,
19647336058333.txt,1965,
01751016108971.txt,1965,
19647336018717.txt,1965,
19647336018071.txt,1965,
19647330129650.txt,1965,
19646670125559.txt,1965,
41690706068282.txt,1965,
54720256054183.txt,1864,
10621666103832.txt,1965,
30664640140061.txt,1965,
36678436059422.txt,1965,
19647336019384.txt,1965,
57726786056303.txt,1965,
30665066028120.txt,1957,
51714646053359.txt,1965,
10624140141291.txt,1965,
36675870107425.txt,1965,
37680236116859.txt,1965,
30664236027387.txt,1965,
47104700137372.txt,1965,
10621661030287.txt,1965,
19650606023196.txt,1965,
33670336107668.txt,1965,
49709536052260.txt,1965,
19649986022701.txt,1965,
41689160112284.txt,1965,
30664643030798.txt,1965,
10621666057293.txt,1965,
50712906053086.txt,1965,
19647336016935.txt,1965,
56737596084933.txt,1965,
19647330109231.txt,1965,
56724545632021.txt,1965,
30736506095137.txt,1965,
37103710138792.txt,1965,
15633216008999.txt,1965,
34765050113878.txt,1965,
57105790113787.txt,1965,
56725616055529.txt,1965,
36750696037246.txt,1965,
34674470112169.txt,1958,
51714646053417.txt,1965,
48705656051270.txt,1965,
50712175030127.txt,1965,
36677776036040.txt,1965,
47736846050843.txt,1965,
30736506100879.txt,1965,
28662666026876.txt,1965,
10623646115224.txt,1965,
19647336019145.txt,1965,
29102982930147.txt,1965,
37683380129395.txt,1965,
19646346014575.txt,1954,
43696906049258.txt,1965,
57727106066260.txt,1965,
42692296060016.txt,1965,
43694270132274.txt,1965,
01612596002117.txt,1965,
41689166043806.txt,1965,
33736766108906.txt,1965,
39686763932654.txt,1965,
42692116045546.txt,1965,
40104054030078.txt,1965,
01611926113815.txt,1965,
43694274330676.txt,1965,
19647336018501.txt,1965,
09618530934554.txt,1965,
37683386040091.txt,1965,
19647256015242.txt,1965,
39686506042477.txt,1965,
43104390123794.txt,1965,
44698234430187.txt,1965,
34674390133777.txt,1965,
47704250131102.txt,1965,
33751766032064.txt,1965,
50736010124073.txt,1965,
36739573631108.txt,1965,
01612006001317.txt,1965,
07617540737809.txt,1965,
30665896029193.txt,1965,
34673486114185.txt,1965,
01612590108944.txt,1965,
30664566027577.txt,1965,
43695266047526.txt,1965,
01751016066500.txt,1965,
30665556028922.txt,1965,
36676786111710.txt,1965,
30103060139352.txt,1965,
56768286055610.txt,1965,
43693930106005.txt,1965,
37683876112353.txt,1965,
07618046005136.txt,1965,
36676780100578.txt,1965,
30103063030632.txt,1965,
21653596024343.txt,1965,
23656156025274.txt,1965,
54768366110290.txt,1965,
30736436030662.txt,1965,
19647336019186.txt,1965,
34674390101048.txt,1965,
47764556050728.txt,1965,
34674136033641.txt,1965,
07617396003826.txt,1965,
37103710120485.txt,1965,
19768690119636.txt,1965,
40687006042949.txt,1961,
43694196046981.txt,1965,
50712176060297.txt,1965,
43694196046759.txt,1965,
39754996042881.txt,1965,
41690396044812.txt,1965,
56726526056055.txt,1965,
10622650126292.txt,1965,
19647336115794.txt,1965,
41689086043681.txt,1965,
30665896029144.txt,1965,
19648656021331.txt,1965,
24753176025423.txt,1965,
36677856036057.txt,1965,
44754324430211.txt,1965,
30664310140707.txt,1965,
42693284230074.txt,1965,
50710430107136.txt,1965,
31750856109870.txt,1965,
15633136008817.txt,1965,
07618046089130.txt,1965,
34673306118574.txt,1965,
37682966070841.txt,1965,
53765135330014.txt,1965,
56725530101378.txt,1965,
19734370134338.txt,1965,
37683386099055.txt,1965,
15633210129171.txt,1965,
27661836026645.txt,1965,
19642616011175.txt,1965,
58727516056832.txt,1965,
34674393434768.txt,1965,
12628101233352.txt,1965,
54755235434113.txt,1965,
50710436052468.txt,1965,
19646676014740.txt,1965,
39754990114140.txt,1965,
33671246104582.txt,1965,
41689240127548.txt,1965,
10624306007314.txt,1965,
50710430109090.txt,1965,
39686766042501.txt,1965,
19647336017008.txt,1965,
07618046117485.txt,1965,
27660766026140.txt,1965,
15637506113484.txt,1965,
19647331933001.txt,1965,
50710430123679.txt,1965,
01611926000921.txt,1965,
19647336058051.txt,1965,
19647331995836.txt,1965,
07616486061154.txt,1965,
30665306028831.txt,1965,
19647330124016.txt,1965,
19647330134205.txt,1965,
31668520120105.txt,1965,
37683386039432.txt,1965,
37683380121681.txt,1965,
19647330126615.txt,1965,
54722310125211.txt,1965,
33671730127316.txt,1965,
39767600139956.txt,1965,
09737830930073.txt,1965,
19647176015051.txt,1965,
01613096002539.txt,1965,
36677360130948.txt,1965,
19642876011373.txt,1965,
19649806022594.txt,1965,
01612596072235.txt,1965,
36678766037170.txt,1965,
19101991933399.txt,1965,
19647336015804.txt,1965,
30736356094676.txt,1965,
43694196067185.txt,1965,
50711676052625.txt,1965,
41690470135814.txt,1965,
30666216096333.txt,1965,
19647336019780.txt,1965,
43694356047179.txt,1965,
01612596113807.txt,1965,
37679916037634.txt,1965,
56726526056121.txt,1965,
48705736060180.txt,1965,
41689244137535.txt,1965,
39686500108035.txt,1965,
19647336019970.txt,1965,
01613096002505.txt,1965,
19645271932698.txt,1965,
19647330112201.txt,1965,
41690396044796.txt,1965,
43693856046494.txt,1965,
19647336015838.txt,1965,
37683386106173.txt,1965,
33751926112098.txt,1965,
36750510138107.txt,1965,
34674396034235.txt,1965,
30736506115455.txt,1965,
07617626108765.txt,1965,
19757131934553.txt,1965,
15638591530351.txt,1965,
19734526022248.txt,1965,
39686766042717.txt,1965,
31750853130218.txt,1965,
20755800140665.txt,1965,
36678430110569.txt,1965,
49708624935151.txt,1965,
16638911632140.txt,1965,
30666706119127.txt,1965,
43104390119024.txt,1965,
56725206055248.txt,1965,
19647336019541.txt,1965,
19645686013734.txt,1965,
19648656116172.txt,1965,
39685933935111.txt,1965,
33751766071203.txt,1965,
19647336018139.txt,1965,
10751270129163.txt,1965,
39685936042311.txt,1965,
33670333330701.txt,1965,
06616146003537.txt,1965,
33671243333762.txt,1965,
37681713733219.txt,1965,
19647336017222.txt,1965,
37682216108559.txt,1965,
23656072330272.txt,1965,
19734370115725.txt,1965,
19650526022925.txt,1965,
19645016013270.txt,1965,
33671240102731.txt,1965,
43694500123299.txt,1965,
01612596001754.txt,1965,
19647330126417.txt,1965,
37683386039630.txt,1965,
19647336018105.txt,1965,
34674476034383.txt,1965,
30664313036712.txt,1965,
15637926010102.txt,1965,
49706564930855.txt,1965,
14766871430057.txt,1965,
07616300731125.txt,1965,
31669100139857.txt,1965,
30665226028815.txt,1965,
30665066028054.txt,1951,
33752420100941.txt,1965,
19647336120471.txt,1965,
56725386055354.txt,1965,
30666700108373.txt,1965,
37683386115331.txt,1965,
19647336019582.txt,1965,
19647336016869.txt,1965,
19753090131383.txt,1965,
19648576111546.txt,1965,
42691206046064.txt,1965,
56726035634993.txt,1965,
36676786035513.txt,1965,
01612346001523.txt,1965,
36677026112114.txt,1965,
19647330112003.txt,1965,
42692296045645.txt,1965,
27660926118962.txt,1965,
19642461995398.txt,1965,
33672156032635.txt,1965,
19753416022008.txt,1965,
37683380106799.txt,1965,
34673226033138.txt,1965,
37682050141499.txt,1965,
34674396034037.txt,1965,
15636930113738.txt,1965,
19644366012587.txt,1965,
19734376012306.txt,1965,
30739243033917.txt,1965,
29663570124834.txt,1965,
19647336061410.txt,1965,
34674476034433.txt,1965,
19647336017586.txt,1965,
36677776106579.txt,1965,
19647336058291.txt,1965,
50711676097752.txt,1965,
37679836115315.txt,1965,
19643941931807.txt,1965,
19645681996131.txt,1965,
13632306008650.txt,1965,
34674396033765.txt,1965,
30664726027700.txt,1965,
56725610113977.txt,1965,
43696414335782.txt,1965,
38684783834082.txt,1965,
04614246003032.txt,1965,
01612910134528.txt,1965,
33103300125237.txt,1965,
56726036060362.txt,1965,
30736353030509.txt,1965,
39685856042188.txt,1965,
37684113731304.txt,1965,
56725460136804.txt,1965,
37684526040653.txt,1965,
54105465430327.txt,1965,
30665226028633.txt,1965,
15739080133504.txt,1965,
54721816054407.txt,1965,
19651020125690.txt,1965,
56737590119396.txt,1965,
01611196090013.txt,1965,
19647256015135.txt,1965,
15634046111355.txt,1965,
33669933330842.txt,1965,
38684786040984.txt,1965,
41689816044275.txt,1965,
37683386039143.txt,1965,
19647336017545.txt,1965,
19101990134361.txt,1965,
51713735132758.txt,1965,
19647330106922.txt,1965,
42691120137885.txt,1965,
10621666006142.txt,1965,
37679916112890.txt,1965,
30664493030624.txt,1965,
36677366107072.txt,1965,
01611766000749.txt,1965,
38684786040760.txt,1965,
37681896038368.txt,1965,
34765056105985.txt,1965,
07617880735407.txt,1965,
37683386040133.txt,1965,
19642461936624.txt,1965,
19647906020432.txt,1965,
37682966111306.txt,1965,
10739656112775.txt,1965,
33736766117774.txt,1965,
37683386039382.txt,1965,
19646916014930.txt,1965,
23655576116669.txt,1965,
19647336058093.txt,1965,
10767786005748.txt,1965,
39754993938008.txt,1965,
34674476034631.txt,1965,
19647336017784.txt,1965,
19648576118749.txt,1965,
33670336116412.txt,1965,
27659616109466.txt,1965,
34674136033708.txt,1965,
10624146007215.txt,1965,
30736353030079.txt,1965,
34673146033021.txt,1965,
44772480138909.txt,1965,
42691466060008.txt,1965,
19647176015044.txt,1965,
50755645031950.txt,1965,
19647336110969.txt,1965,
19647336017974.txt,1965,
07617960730291.txt,1965,
37681146096911.txt,1965,
30666700101626.txt,1965,
37682966038970.txt,1965,
19650946023410.txt,1965,
12768020124164.txt,1965,
14766870119081.txt,1965,
19642876011399.txt,1965,
36678760109488.txt,1965,
43694926047351.txt,1881,4600
09737830930099.txt,1965,
49706986051726.txt,1965,
07617960735316.txt,1965,
19647336058044.txt,1965,
21654172132264.txt,1965,
37683386039341.txt,1965,
23752186025118.txt,1965,
10623646007033.txt,1965,
48705816051411.txt,1965,
19734370140533.txt,1965,
42691206045975.txt,1965,
30665226028419.txt,1965,
42692600141168.txt,1965,
43693936046619.txt,1965,
19644446012660.txt,1965,
07618046005094.txt,1965,
19647336016471.txt,1965,
39685696105738.txt,1965,
19648816021752.txt,1965,
19647176015093.txt,1965,
40688096043301.txt,1965,
04615316112999.txt,1965,
19647336019756.txt,1965,
37684520126300.txt,1965,
38684783830031.txt,1965,
37683386106199.txt,1965,
01613090137745.txt,1965,
43695186047377.txt,1965,
50736016025753.txt,1965,
30665896029151.txt,1965,
37683383734431.txt,1965,
33671730105767.txt,1965,
36679593638509.txt,1965,
19757136011043.txt,1965,
15636936118681.txt,1965,
01612590114363.txt,1965,
50711676107023.txt,1965,
19643371996230.txt,1965,
50710760101493.txt,1965,
07616976003685.txt,1965,
37683383731213.txt,1965,
37679916037741.txt,1965,
19734601932862.txt,1965,
04614996003198.txt,1962,
15638006010136.txt,1965,
37683380124115.txt,1965,
36678436036594.txt,1965,
19647336017800.txt,1965,
10751271030493.txt,1965,
19647330111641.txt,1965,
17640301730019.txt,1965,
50712826053060.txt,1965,
37681633731239.txt,1965,
33671246109110.txt,1965,
25735936025894.txt,1965,
30736436030688.txt,1965,
15635606009674.txt,1965,
10621666117477.txt,1965,
27659616025985.txt,1965,
06100660630111.txt,1965,
20764142030237.txt,1965,
54719446054092.txt,1965,
54755235430228.txt,1965,
40687590110486.txt,1965,
19647256015531.txt,1965,
19647336016539.txt,1965,
36678506105704.txt,1965,
30665226028237.txt,1965,
19647330120477.txt,1965,
36676780100586.txt,1965,
19768696023816.txt,1965,
11754816007470.txt,1965,
04614240431502.txt,1965,
37680230105957.txt,1965,
34674470120469.txt,1965,
19734376066732.txt,1965,
19647336019178.txt,1965,
24656316025365.txt,1965,
37679676118723.txt,1965,
20652432035707.txt,1965,
08618206005425.txt,1965,
49709126052104.txt,1965,
29768776111371.txt,1965,
48705736109094.txt,1965,
33736763330354.txt,1965,
21654586058622.txt,1965,
19647336016505.txt,1965,
13631236108823.txt,1965,
42767864232690.txt,1965,
19645271932706.txt,1965,
43696416048235.txt,1965,
24656982430106.txt,1965,
34673146061808.txt,1965,
56726526056097.txt,1965,
43696176067227.txt,1965,
39754996042857.txt,1965,
43694196046957.txt,1965,
35674706112320.txt,1965,
42692116045553.txt,1965,
32103226117360.txt,1965,
19651026110837.txt,1965,
48705406100754.txt,1965,
30665143037348.txt,1965,
34674396099808.txt,1965,
30736356095145.txt,1965,
33752426111447.txt,1965,
