cds_code,pdf,json
01100170109835,DNE,DNE
01100170112607,E,E
01100170118489,DNE,DNE
01100170123968,DNE,E
01100170124172,DNE,E
01100170125567,DNE,E
01100170129403,DNE,DNE
01100170130302,DNE,DNE
01100170130401,DNE,E
01100170130419,DNE,E
01100170130427,DNE,DNE
01100170130625,DNE,E
01100170131276,DNE,DNE
01100170131581,DNE,E
01100170131912,DNE,DNE
01100170136101,DNE,E
01100170136226,DNE,E
01100170136853,DNE,DNE
01100170137448,DNE,E
01100170138412,DNE,DNE
01100170138644,DNE,DNE
01100170138867,DNE,E
01100176001788,DNE,E
01100176002000,DNE,E
01100176002729,DNE,DNE
01100176002737,DNE,DNE
01100176002745,DNE,DNE
01100176002752,DNE,DNE
01100176002760,DNE,DNE
01100176066526,DNE,DNE
01100176066534,DNE,DNE
01100176072276,DNE,DNE
01100176089379,DNE,DNE
01100176095897,DNE,DNE
01100176096531,DNE,DNE
01100176097539,DNE,DNE
01100176097562,DNE,DNE
01100176098586,DNE,DNE
01100176098628,DNE,DNE
01100176098636,DNE,DNE
01100176106751,DNE,DNE
01100176114896,DNE,DNE
01316090000000,DNE,DNE
01316090131755,DNE,E
01316170000000,DNE,DNE
01316170131763,DNE,E
01404027200009,DNE,DNE
01611190000000,DNE,DNE
01611190100818,DNE,DNE
01611190106401,DNE,E
01611190111765,DNE,E
01611190119222,DNE,E
01611190122085,DNE,E
01611190126656,DNE,DNE
01611190128199,DNE,DNE
01611190130120,DNE,DNE
01611190130229,DNE,E
01611190130476,DNE,DNE
01611190130609,DNE,E
01611190131805,DNE,DNE
01611190132142,DNE,E
01611190132878,DNE,DNE
01611190134304,DNE,E
01611190138214,DNE,DNE
01611190139220,DNE,E
01611190147058,DNE,DNE
01611196000004,DNE,DNE
01611196090005,DNE,DNE
01611196090013,DNE,E
01611196090021,DNE,E
01611196090039,DNE,E
01611196090047,DNE,E
01611196090054,DNE,E
01611196090062,DNE,DNE
01611196090070,DNE,DNE
01611196090088,DNE,DNE
01611196090096,DNE,DNE
01611196090104,DNE,DNE
01611196090112,DNE,E
01611196090120,DNE,E
01611196090138,DNE,DNE
01611196100374,DNE,E
01611196103451,DNE,DNE
01611196110779,DNE,E
01611270000000,DNE,DNE
01611270126631,DNE,DNE
01611270130211,DNE,DNE
01611270130294,E,E
01611270130351,DNE,DNE
01611270130450,E,E
01611270147066,DNE,DNE
01611276085583,DNE,DNE
01611276090146,E,E
01611276090153,DNE,DNE
01611276090161,E,E
01611276090179,DNE,DNE
01611276095376,E,E
01611276116222,E,E
01611350000000,DNE,DNE
01611350130013,DNE,DNE
01611350130021,DNE,DNE
01611350130096,DNE,DNE
01611350130252,DNE,DNE
01611350130310,DNE,DNE
01611350130583,DNE,DNE
01611350132704,DNE,DNE
01611350138453,DNE,DNE
01611430000000,DNE,DNE
01611430122689,DNE,DNE
01611430122697,DNE,DNE
01611430122804,DNE,DNE
01611430131078,DNE,DNE
01611430131177,DNE,E
01611430131219,DNE,DNE
01611430134924,DNE,E
01611430138552,DNE,DNE
01611430141655,DNE,DNE
01611430147074,DNE,DNE
01611430147082,DNE,DNE
01611430164558,DNE,DNE
01611436056857,DNE,E
01611436056865,DNE,E
01611436068142,DNE,DNE
01611436069603,DNE,DNE
01611436069611,DNE,DNE
01611436090187,DNE,E
01611436090195,DNE,E
01611436090203,DNE,DNE
01611436090211,DNE,E
01611436090229,DNE,DNE
01611436090237,DNE,DNE
01611436090245,DNE,DNE
01611436090252,DNE,E
01611436090260,DNE,DNE
01611436090278,DNE,E
01611436090286,DNE,E
01611436090294,DNE,E
01611436090302,DNE,E
01611436090310,DNE,E
01611436090328,DNE,E
01611436090336,DNE,DNE
